iterations, matrix_dim, etime, flops, cores
3376, 1024, 0.417707, 42374111231.078247, 24
3376, 1024, 0.433077, 40870244506.173271, 24
3376, 1024, 0.407367, 43449672850.279968, 24
3376, 1024, 0.423958, 41749331018.638641, 24
3376, 1024, 0.414742, 42677044716.956566, 24
3376, 1024, 0.419649, 42178017533.700783, 24
3376, 1024, 0.412577, 42900992735.901421, 24
3376, 1024, 0.412908, 42866601954.914894, 25
3376, 1024, 0.420709, 42071747645.046814, 25
3376, 1024, 0.414959, 42654727045.322556, 25
3376, 1024, 0.418790, 42264530862.723564, 25
3376, 1024, 0.424171, 41728366342.819290, 25
3376, 1024, 0.421618, 41981041796.128250, 25
3376, 1024, 0.418619, 42281795331.793350, 25
3376, 1024, 0.416221, 42525396075.642509, 25
3376, 1024, 0.386517, 45793491308.273636, 25
3376, 1024, 0.419234, 42219769579.757370, 25
3376, 1024, 0.403392, 43877823258.765671, 26
3376, 1024, 0.408617, 43316755984.210152, 26
3376, 1024, 0.420871, 42055553554.414536, 26
3376, 1024, 0.406602, 43531421094.829834, 26
3376, 1024, 0.409770, 43194872440.637436, 26
3376, 1024, 0.418080, 42336306161.500191, 26
3376, 1024, 0.410585, 43109131799.749138, 26
3376, 1024, 0.432077, 40964834693.816147, 26
3376, 1024, 0.407698, 43414397127.285393, 26
3376, 1024, 0.409483, 43225147026.860703, 26
3376, 1024, 0.396719, 44615868864.359917, 27
3376, 1024, 0.416694, 42477124412.638527, 27
3376, 1024, 0.423089, 41835081696.758842, 27
3376, 1024, 0.412352, 42924401676.237778, 27
3376, 1024, 0.426910, 41460642477.337151, 27
3376, 1024, 0.415544, 42594678012.436714, 27
3376, 1024, 0.409819, 43189707846.634735, 27
3376, 1024, 0.415124, 42637773002.765442, 27
3376, 1024, 0.412787, 42879167415.640518, 27
3376, 1024, 0.422682, 41875364647.654739, 27
3376, 1024, 0.420682, 42074447872.739983, 28
3376, 1024, 0.409567, 43216281780.514549, 28
3376, 1024, 0.424713, 41675114441.987885, 28
3376, 1024, 0.421064, 42036276860.524765, 28
3376, 1024, 0.429005, 41258173867.437447, 28
3376, 1024, 0.410252, 43144123319.325684, 28
3376, 1024, 0.409318, 43242571496.977905, 28
3376, 1024, 0.415514, 42597753336.831009, 28
3376, 1024, 0.428433, 41313257568.861404, 28
3376, 1024, 0.426810, 41470356552.095787, 28
3376, 1024, 3.347936, 5286828326.467412, 2
3376, 1024, 3.235241, 5470987441.121079, 2
3376, 1024, 3.355283, 5275251858.039992, 2
3376, 1024, 3.274340, 5405658202.874473, 2
3376, 1024, 3.389945, 5221312699.763565, 2
3376, 1024, 3.206272, 5520418379.975249, 2
3376, 1024, 3.264585, 5421811005.074152, 2
3376, 1024, 3.229438, 5480818297.177403, 2
3376, 1024, 3.172934, 5578421385.380219, 2
3376, 1024, 3.203847, 5524596798.785959, 2
3376, 1024, 2.173270, 8144392035.964238, 3
3376, 1024, 2.257873, 7839219867.547909, 3
3376, 1024, 2.317603, 7637185005.369772, 3
3376, 1024, 2.158193, 8201288244.378515, 3
3376, 1024, 2.254755, 7850060374.630504, 3
3376, 1024, 2.262123, 7824491807.032598, 3
3376, 1024, 2.188233, 8088701194.068457, 3
3376, 1024, 2.142296, 8262146258.033437, 3
3376, 1024, 2.135970, 8286615860.709655, 3
3376, 1024, 2.143179, 8258742214.252753, 3
3376, 1024, 1.663922, 10637495555.681097, 4
3376, 1024, 1.747236, 10130264532.095264, 4
3376, 1024, 1.715100, 10320076310.419218, 4
3376, 1024, 1.787595, 9901550899.392759, 4
3376, 1024, 1.683805, 10511884024.575293, 4
3376, 1024, 1.771255, 9992893671.436354, 4
3376, 1024, 1.683115, 10516193415.185535, 4
3376, 1024, 1.817635, 9737908259.909168, 4
3376, 1024, 1.726332, 10252931000.525970, 4
3376, 1024, 1.693889, 10449305048.914066, 4
3376, 1024, 1.432932, 12352269947.213127, 5
3376, 1024, 1.427705, 12397493095.562458, 5
3376, 1024, 1.325191, 13356537193.506445, 5
3376, 1024, 1.400236, 12640699767.753435, 5
3376, 1024, 1.313484, 13475583166.601191, 5
3376, 1024, 1.372224, 12898741663.168697, 5
3376, 1024, 1.372376, 12897313039.575159, 5
3376, 1024, 1.345497, 13154962723.811350, 5
3376, 1024, 1.429018, 12386102120.477140, 5
3376, 1024, 1.358597, 13028118625.317146, 5
3376, 1024, 1.184605, 14941658088.561167, 6
3376, 1024, 1.218404, 14527170692.151371, 6
3376, 1024, 1.109920, 15947061842.294939, 6
3376, 1024, 1.259511, 14053043506.567230, 6
3376, 1024, 1.176637, 15042840638.191729, 6
3376, 1024, 1.184000, 14949292972.972973, 6
3376, 1024, 1.163377, 15214296724.105772, 6
3376, 1024, 1.241967, 14251556506.734880, 6
3376, 1024, 1.233058, 14354525804.949970, 6
3376, 1024, 1.190802, 14863900866.810772, 6
3376, 1024, 1.018097, 17385340375.229473, 7
3376, 1024, 1.036276, 17080355889.743660, 7
3376, 1024, 1.006778, 17580800216.135036, 7
3376, 1024, 1.023345, 17296183476.735607, 7
3376, 1024, 1.027093, 17233067385.329273, 7
3376, 1024, 1.048399, 16882849831.028070, 7
3376, 1024, 1.023748, 17289374807.081429, 7
3376, 1024, 1.029226, 17197353040.051456, 7
3376, 1024, 1.048412, 16882640488.662855, 7
3376, 1024, 1.035298, 17096490942.704418, 7
3376, 1024, 0.892003, 19842940976.655907, 8
3376, 1024, 0.889062, 19908581043.841713, 8
3376, 1024, 0.944818, 18733727426.869514, 8
3376, 1024, 0.897366, 19724352025.817783, 8
3376, 1024, 0.914971, 19344834841.760014, 8
3376, 1024, 0.914636, 19351920195.575069, 8
3376, 1024, 0.930968, 19012428869.735588, 8
3376, 1024, 0.909349, 19464433215.410145, 8
3376, 1024, 0.949776, 18635934030.760937, 8
3376, 1024, 0.917264, 19296476129.009750, 8
3376, 1024, 0.769764, 22994012294.677330, 9
3376, 1024, 0.850556, 20809873635.598362, 9
3376, 1024, 0.814223, 21738470762.923672, 9
3376, 1024, 0.808881, 21882035651.721329, 9
3376, 1024, 0.771999, 22927442755.754864, 9
3376, 1024, 0.852806, 20754969922.819492, 9
3376, 1024, 0.827521, 21389140432.689926, 9
3376, 1024, 0.835438, 21186446965.543823, 9
3376, 1024, 0.799951, 22126308836.416233, 9
3376, 1024, 0.836781, 21152443566.476772, 9
